Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,Yth,Andréa Leborgne,AM (C),FRA,16,OGC Nice,Unknown,Unknown,€45K - €140K,€300 p/m,-,-,-,Fairly Determined,Media-friendly,Young attacking midfielder,30/6/2026,Reasonable,Very Strong,-,-,3,8,3,5,11,9,7,6,2,7,14,3,7,17,7,8,11,13,3,5,5,1,8,9,3,6,7,10,4,3,6,3,7,7,14,3,1,14,8,2000290586,6,171 cm
-,Wnt,Jean-Clair Todibo,D (C),FRA,23,OGC Nice,Unknown,Unknown,€23M - €69M,"€104,000 p/m",-,-,-,Spirited,Evasive,Powerful centre-back,30/6/2027,Reasonable,Very Strong,-,-,2,14,3,14,14,15,13,15,3,13,15,5,12,16,14,8,13,15,2,14,16,4,11,8,15,12,16,14,12,1,13,15,16,14,15,3,1,15,12,48044499,3,190 cm
-,,Gaëtan Laborde,"AM (R), ST (C)",FRA,29,OGC Nice,Unknown,Unknown,€12M - €36M,"€177,000 p/m",-,-,-,Resolute,Level-headed,Nomadic striker,30/6/2026,Very Strong,Weak,-,-,3,13,1,12,12,14,14,15,3,14,13,13,13,15,13,14,13,13,3,16,15,2,13,15,4,15,13,14,14,4,17,14,4,18,13,3,4,13,18,85075725,5,181 cm
-,Yth,Mathis Carlotti,D (C),FRA,17,OGC Nice,Unknown,Unknown,€120K - €350K,€400 p/m,-,-,-,Fairly Determined,Level-headed,Young centre-back,30/6/2025,Fairly Strong,Very Strong,-,-,1,12,1,9,9,10,6,9,1,11,6,1,12,17,4,1,3,5,4,12,7,3,10,1,13,2,10,7,12,1,4,6,13,5,3,2,1,1,7,2000192278,3,182 cm
-,,Yanis Sofikitis,D (C),FRA,16,OGC Nice,Unknown,Unknown,€40K - €120K,"€2,800 p/m",-,-,-,Fairly Determined,Level-headed,Young centre-back,30/6/2025,Reasonable,Very Strong,-,-,3,8,1,14,8,8,6,8,3,3,6,1,12,15,1,4,2,5,2,12,10,1,4,3,12,2,8,5,11,1,12,7,12,5,5,2,2,2,7,2000290577,3,182 cm
-,Yth,Dorian Pieroni,GK,FRA,18,OGC Nice,Unknown,Unknown,€40K - €120K,€500 p/m,-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2024,Reasonable,Very Strong,-,-,8,11,8,8,11,6,7,12,9,13,5,3,14,3,3,2,1,3,4,1,5,5,9,1,3,1,8,13,8,13,1,5,3,7,3,6,14,6,6,2000128334,2,177 cm
-,Yth,Julien Pastorelli,D (C),FRA,17,OGC Nice,Unknown,Unknown,€325K - €950K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Very Strong,Weak,-,-,4,11,3,15,11,10,10,10,3,8,10,6,8,10,1,5,11,5,1,11,8,2,5,5,11,7,11,10,12,2,11,6,16,9,12,2,2,9,10,2000192273,7,177 cm
-,,Aliou Baldé,M/AM (RL),SEN,20,OGC Nice,Unknown,Unknown,€5M - €15M,"€31,000 p/m",-,-,-,Fairly Ambitious,Media-friendly,Winger,30/6/2028,Reasonable,Very Strong,-,-,3,17,2,11,15,12,11,9,3,10,10,10,11,12,14,8,13,14,1,5,6,3,6,9,4,11,15,11,4,3,13,6,6,12,13,1,2,10,13,2000047650,7,170 cm
-,,Marcin Bułka,GK,POL,23,OGC Nice,Unknown,Unknown,€1.8M - €5.2M,"€23,000 p/m",-,-,-,Spirited,Evasive,Goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,14,12,16,10,12,12,16,13,12,11,11,2,11,15,1,2,9,3,12,2,18,13,14,2,1,2,11,11,13,12,8,14,1,12,8,12,11,13,11,28111106,5,199 cm
-,Wnt,Evann Guessand,ST (C),FRA,22,OGC Nice,Unknown,Unknown,€2.6M - €7.8M,"€31,000 p/m",-,-,-,Fairly Determined,Level-headed,Striker,30/6/2026,Weak,Very Strong,-,-,4,14,2,12,13,12,15,14,2,10,11,8,12,15,13,13,13,14,3,11,14,4,5,9,5,14,14,11,11,1,14,14,6,12,14,1,4,12,12,49041006,5,185 cm
-,Yth,Charlie Dressel,M/AM (C),ENG,17,OGC Nice,Unknown,Unknown,€35K - €110K,€400 p/m,-,-,-,Balanced,Level-headed,Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,13,3,7,13,3,6,6,3,3,7,5,12,4,6,9,12,15,1,4,4,3,10,6,6,5,13,13,7,2,7,2,6,6,9,3,2,13,10,2000192285,5,166 cm
-,Yth,Noah Yalcin,M (L),FRA,16,OGC Nice,Unknown,Unknown,€40K - €120K,€300 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2026,Very Strong,Reasonable,-,-,1,9,2,5,13,5,8,8,2,8,6,9,11,14,13,5,11,12,1,5,6,2,6,11,7,10,11,7,6,2,5,5,5,8,11,2,3,8,9,2000290599,7,179 cm
-,Wnt,Melvin Bard,D/WB/M (L),FRA,22,OGC Nice,Unknown,Unknown,€4.8M - €14.5M,"€66,500 p/m",-,-,-,Fairly Determined,Level-headed,Attacking full back,30/6/2025,Very Strong,Weak,-,-,1,14,1,15,12,13,12,15,2,10,11,15,12,15,14,6,13,13,2,9,8,2,12,8,14,12,14,14,12,2,13,12,13,16,14,1,2,13,16,49041157,6,173 cm
-,Yth,Iliesse Salhi,AM (C),FRA,15,OGC Nice,Unknown,Unknown,€650K - €1.9M,€300 p/m,-,-,-,Fairly Determined,Level-headed,Promising attacking midfielder,30/6/2027,Fairly Strong,Very Strong,-,-,1,13,2,11,9,3,13,4,2,7,4,10,10,15,13,7,13,13,3,6,3,2,3,8,6,6,13,11,3,1,9,1,7,7,13,3,3,9,12,2000290833,7,169 cm
-,,Terem Moffi,ST (C),NGA,24,OGC Nice,Unknown,Unknown,€22M - €67M,"€140,000 p/m",-,-,-,Balanced,Level-headed,Striker,30/6/2027,Very Strong,Weak,-,-,3,17,2,12,12,13,16,13,1,12,12,8,11,14,13,14,13,14,1,12,13,1,7,11,7,13,17,12,13,3,13,17,7,13,13,2,1,13,13,47079007,7,188 cm
-,Yth,Millan Brignone,M (L),FRA,16,OGC Nice,Unknown,Unknown,€50K - €150K,€300 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2026,Very Strong,Fairly Strong,-,-,2,14,3,11,10,3,14,5,3,4,8,11,5,6,10,3,9,5,1,6,4,2,11,7,4,8,14,4,5,2,10,3,4,7,7,4,1,7,6,2000290589,7,179 cm
-,Yth,Edoardo Cavaliere,ST (C),MON,17,OGC Nice,Unknown,Unknown,€180K - €550K,€400 p/m,-,-,-,Balanced,Media-friendly,Young striker,30/6/2025,Very Strong,Reasonable,-,-,1,13,3,12,10,7,7,7,1,4,11,3,11,10,12,13,13,13,2,13,9,1,2,6,4,11,10,7,4,3,12,4,2,6,13,3,2,7,7,2000290832,6,189 cm
-,,Yassine Mohamed,ST (C),FRA,17,OGC Nice,Unknown,Unknown,€50K - €150K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young striker,30/6/2024,Reasonable,Very Strong,-,-,3,13,2,7,13,6,6,7,1,6,13,5,8,8,13,9,13,12,1,12,3,1,1,4,4,13,13,6,2,1,7,4,1,5,12,2,1,5,6,2000192299,1,179 cm
-,,Jérémie Boga,AM (LC),CIV,26,OGC Nice,Unknown,Unknown,€18M - €54M,"€126,000 p/m",-,-,-,Fairly Ambitious,Level-headed,Winger,30/6/2027,Reasonable,Very Strong,-,-,1,17,2,8,17,10,12,8,1,6,10,12,10,13,18,12,16,18,1,6,4,2,7,14,4,14,16,13,4,3,11,10,5,10,17,1,1,12,8,28084880,10,174 cm
-,Yth,Kaïs Kourtel,M (C),FRA,16,OGC Nice,Unknown,Unknown,€220K - €650K,€300 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,3,8,1,15,8,9,7,1,1,12,7,6,14,12,5,6,14,9,2,6,7,3,8,4,7,8,8,14,10,1,7,2,8,13,9,3,2,8,12,2000290592,6,169 cm
-,Wnt,Alexis Claude-Maurice,"M (LC), AM (RLC)",FRA,25,OGC Nice,Unknown,Unknown,€1.2M,"€110,000 p/m",-,-,-,Fairly Professional,Level-headed,Winger,30/6/2024,Reasonable,Very Strong,-,-,1,13,3,10,14,12,10,12,4,12,11,11,10,14,14,12,13,14,2,7,7,1,7,11,8,13,14,14,10,2,13,6,7,14,14,1,3,14,13,48036267,10,175 cm
-,,Romain Perraud,D/WB (L),FRA,25,OGC Nice,Unknown,Unknown,€3.9M - €11.5M,"€121,000 p/m",-,-,-,Fairly Determined,Level-headed,Full-back,30/6/2025,Very Strong,Weak,-,-,2,13,1,14,14,13,15,14,3,13,13,15,13,15,14,8,13,12,1,8,6,2,8,15,10,13,13,12,13,1,15,9,12,16,14,2,3,13,16,48036809,10,173 cm
-,,Youssouf Ndayishimiye,"D (C), DM",BDI,24,OGC Nice,Unknown,Unknown,€3.5M - €10.5M,"€66,000 p/m",-,-,-,Fairly Determined,Media-friendly,Powerful centre-back,30/6/2027,Weak,Very Strong,-,-,2,13,1,15,13,12,16,16,1,14,13,9,12,16,11,6,14,8,3,12,14,1,11,5,12,11,11,14,13,2,15,15,13,15,12,3,1,14,16,70138807,8,187 cm
-,Yth,Mousslim Youssouf,D/WB (R),FRA,17,OGC Nice,Unknown,Unknown,€45K - €140K,€400 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2025,Weak,Very Strong,-,-,1,12,3,15,11,8,9,8,1,7,10,12,14,5,9,6,7,9,4,5,2,1,7,4,7,8,9,7,9,4,12,4,13,9,10,3,3,10,10,2000192280,7,166 cm
-,,Salvatore Sirigu,GK,ITA,36,OGC Nice,Unknown,Unknown,€26K - €80K,"€21,500 p/m",-,-,-,Professional,Level-headed,Veteran goalkeeper,30/6/2024,Weak,Very Strong,-,-,13,7,14,10,13,14,13,14,13,13,13,3,13,16,6,2,8,7,13,7,15,12,14,3,1,3,10,8,14,14,9,13,2,16,8,13,13,7,8,1401013,6,192 cm
-,Wnt,Khephren Thuram,"DM, M (C)",FRA,22,OGC Nice,Unknown,Unknown,€14M - €42M,"€140,000 p/m",-,-,-,Spirited,"Evasive, Unflappable",Midfielder,30/6/2025,Reasonable,Very Strong,-,-,3,15,3,14,13,12,14,12,4,11,12,7,13,17,15,12,15,14,3,12,15,1,13,13,13,14,14,15,14,2,15,12,12,15,15,3,2,14,14,49038952,6,192 cm
-,Yth,Everton Pereira,"DM, M (C)",FRA,16,OGC Nice,Unknown,Unknown,€300K - €850K,€300 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Fairly Strong,Very Strong,-,-,3,13,2,15,9,8,14,7,1,5,12,4,12,10,7,11,13,5,2,7,9,2,1,12,6,9,11,11,7,2,8,6,12,13,11,1,2,6,13,2000290595,5,178 cm
-,,Naké Youssouf,D (C),FRA,17,OGC Nice,Unknown,Unknown,€40K - €120K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2024,Fairly Strong,Very Strong,-,-,3,8,1,15,6,11,7,8,1,6,5,4,14,14,3,3,6,5,1,14,7,3,3,1,14,6,8,5,14,1,7,4,12,6,1,3,1,1,7,2000192274,4,180 cm
-,Yth,Neil Joubij,D (L),FRA,17,OGC Nice,Unknown,Unknown,€120K - €350K,€400 p/m,-,-,-,Fairly Determined,Media-friendly,Young full-back,30/6/2025,Very Strong,Fairly Strong,-,-,2,14,1,9,14,7,8,9,1,9,8,11,14,15,5,6,7,5,2,8,4,2,4,7,7,6,14,3,7,1,9,7,13,8,6,3,1,5,8,2000280603,5,176 cm
-,Yth,Yacine Haddad,AM (C),FRA,17,OGC Nice,Unknown,Unknown,€22K - €70K,€400 p/m,-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,14,1,7,14,6,7,7,2,7,6,6,13,4,9,11,10,13,1,6,5,2,4,9,4,4,14,5,2,3,6,1,7,7,8,3,3,11,10,2000192290,3,170 cm
-,,Sofiane Diop,"M (RL), AM (RLC)",MAR,23,OGC Nice,Unknown,Unknown,€12M - €36M,"€86,500 p/m",-,-,-,Fairly Determined,Level-headed,Winger,30/6/2026,Reasonable,Very Strong,-,-,2,15,2,13,14,12,13,13,2,13,12,11,12,15,14,11,14,15,2,8,6,1,8,10,4,13,15,14,6,2,14,10,8,12,15,2,2,13,14,49037827,13,175 cm
-,,Kylian Lopez,M/AM (C),FRA,17,OGC Nice,Unknown,Unknown,€35K - €100K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2024,Reasonable,Very Strong,-,-,3,13,3,14,9,8,7,6,2,6,5,1,10,13,6,10,12,13,1,5,2,3,10,8,7,8,10,10,4,1,8,2,7,7,14,2,1,14,8,2000192296,5,168 cm
-,Yth,Kacper Szymczyk,GK,POL,16,OGC Nice,Unknown,Unknown,€170K - €500K,€300 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Very Strong,Reasonable,-,-,9,9,14,9,7,10,8,10,12,8,8,2,6,13,3,2,6,3,14,1,14,8,4,3,3,3,6,7,9,14,6,4,2,8,4,10,13,7,7,2000280600,5,187 cm
-,Wnt,Jordan Lotomba,"D (RL), WB/M (R)",SUI,24,OGC Nice,Unknown,Unknown,€1M - €3M,"€54,500 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2025,Fairly Strong,Very Strong,-,-,2,14,2,14,14,13,8,12,2,12,12,11,10,13,13,8,14,14,2,7,9,1,7,6,12,12,13,11,12,1,14,8,13,15,12,3,3,9,14,98034811,8,177 cm
-,Wnt,Youcef Atal,D/WB/M (R),ALG,27,OGC Nice,Unknown,Unknown,€4.9M - €15M,"€149,000 p/m",-,-,-,Resolute,Level-headed,Full-back,30/6/2024,Fairly Strong,Very Strong,-,-,1,16,3,16,14,12,11,14,2,10,11,12,10,15,15,11,13,16,4,6,6,2,8,12,10,14,15,12,12,3,14,10,12,13,15,3,3,12,15,13195823,8,176 cm
-,,Hédy Bechar,M/AM (C),FRA,17,OGC Nice,Unknown,Unknown,€45K - €130K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Fairly Strong,Very Strong,-,-,3,12,1,15,7,8,8,7,4,8,8,2,12,12,4,12,12,13,3,7,4,3,6,7,8,9,8,13,7,1,12,6,6,8,12,1,2,8,9,2000192295,5,172 cm
-,,Daouda Traoré,M/AM (C),FRA,16,OGC Nice,Unknown,Unknown,€650K - €2M,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Promising attacking midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,13,1,14,10,12,8,8,1,9,7,7,14,3,9,8,11,13,3,7,10,2,3,7,6,9,12,14,5,2,7,6,11,8,14,1,3,12,5,2000192292,7,186 cm
-,Wnt,Alexis Beka Beka,"DM, M (C)",FRA,22,OGC Nice,Unknown,Unknown,€1.9M - €5.8M,"€25,000 p/m",-,-,-,Balanced,Media-friendly,Defensive midfielder,30/6/2026,Reasonable,Very Strong,-,-,4,13,2,15,13,13,13,13,2,12,12,10,10,13,14,10,11,13,3,9,10,2,8,13,13,13,13,13,11,1,14,10,11,13,12,2,1,12,13,49048353,10,178 cm
-,,Dante,D (C),BRA,39,OGC Nice,Unknown,Unknown,€450K - €1.4M,"€81,000 p/m",-,-,-,Model Citizen,"Evasive, Unflappable",Commanding centre-back,30/6/2024,Very Strong,Reasonable,-,-,1,4,3,15,6,17,17,18,2,15,16,5,15,19,13,8,15,17,3,16,16,3,18,5,15,13,5,16,15,1,14,17,16,16,14,1,1,17,17,316742,4,188 cm
-,Yth,Yaël Nandjou Kwingoua,D (C),FRA,17,OGC Nice,Unknown,Unknown,€50K - €160K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Very Strong,Weak,-,-,1,11,3,5,9,11,6,8,2,5,6,3,13,7,3,1,6,5,1,11,14,2,6,2,13,3,11,5,13,1,3,5,13,5,3,1,3,3,6,2000207124,1,190 cm
-,Wnt,Pablo Rosario,"D (C), DM, M (C)",NED,26,OGC Nice,Unknown,Unknown,€5.6M - €17M,"€112,000 p/m",-,-,-,Spirited,Level-headed,Defensive midfielder,30/6/2025,Fairly Strong,Very Strong,-,-,1,12,2,16,12,12,15,16,3,15,13,8,13,14,11,7,12,11,1,13,13,4,12,8,13,13,12,12,12,3,15,14,13,16,13,2,1,14,16,37057370,9,188 cm
-,Yth,Kéfren Ali,ST (C),FRA,16,OGC Nice,Unknown,Unknown,€150K - €450K,€300 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2026,Fairly Strong,Very Strong,-,-,3,12,3,11,10,5,6,1,2,5,4,5,13,5,13,13,13,8,3,13,5,2,4,5,3,8,11,5,4,3,5,6,4,5,8,2,1,6,6,2000290798,4,176 cm
-,Yth,Prince Mbatshi,D (C),FRA,17,OL,Unknown,Unknown,€350K - €1M,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Weak,Very Strong,-,-,1,8,3,12,11,6,9,9,2,11,6,8,15,4,7,6,8,5,3,11,7,1,5,1,14,5,9,9,15,2,6,8,14,8,3,1,3,6,9,2000185935,7,179 cm
-,,Paul Akouokou,"DM, M (C)",CIV,25,OL,Unknown,Unknown,€2.1M - €6.4M,"€68,000 p/m",-,-,-,Balanced,Media-friendly,Defensive midfielder,30/6/2027,Reasonable,Very Strong,-,-,3,14,2,14,13,15,12,14,3,13,13,7,11,13,10,7,11,12,2,13,11,1,10,9,13,9,13,10,13,2,15,14,15,14,11,2,2,11,14,33066648,7,181 cm
-,,Jake O'Brien,D (C),IRL,22,OL,Unknown,Unknown,€2.3M - €7M,"€76,500 p/m",-,-,-,Fairly Professional,Reserved,Centre-back,30/6/2027,Weak,Very Strong,-,-,2,12,3,14,7,11,14,12,2,12,10,5,11,14,6,6,10,3,3,15,17,3,14,4,13,11,12,11,14,3,14,15,13,12,9,2,3,7,14,52101552,4,197 cm
-,Yth,Erawan Garnier,D/WB/M/AM (R),FRA,17,OL,Unknown,Unknown,€375K - €1.1M,€400 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2025,Strong,Very Strong,-,-,3,12,3,5,10,5,7,8,3,6,6,8,10,10,12,8,12,13,1,7,8,3,3,1,7,9,10,11,7,4,6,7,8,7,13,3,2,8,8,2000217387,6,187 cm
-,Yth,Bryan Meyo,AM (RL),FRA,17,OL,Unknown,Unknown,€220K - €650K,€400 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2025,Fairly Strong,Very Strong,-,-,3,12,2,8,11,5,9,8,3,7,7,12,10,4,12,10,14,11,3,8,5,3,9,7,5,10,12,7,5,2,10,8,5,3,12,2,3,9,8,2000185932,7,170 cm
-,,Johann Lepenant,"DM, M (C)",FRA,20,OL,Unknown,Unknown,€3.2M - €9.6M,"€34,000 p/m",-,-,-,Balanced,Level-headed,Hard working midfielder,30/6/2027,Reasonable,Very Strong,-,-,1,13,1,13,13,13,12,14,3,12,11,8,12,12,10,6,12,10,2,9,8,2,8,7,14,10,13,13,13,3,15,10,14,15,14,3,3,12,15,49056191,8,176 cm
-,Yth,Léo Ripert,GK,FRA,17,OL,Unknown,Unknown,€170K - €500K,€400 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2025,Fairly Strong,Very Strong,-,-,13,9,13,8,10,5,4,14,10,7,6,3,13,13,3,2,1,1,9,1,13,9,8,1,2,3,5,8,11,13,3,4,3,6,1,8,11,5,5,2000288937,2,191 cm
-,Yth,Kelyan Yahia,D (C),FRA,16,OL,Unknown,Unknown,€850K - €2.5M,€300 p/m,-,-,-,Balanced,Media-friendly,Promising centre-back,30/6/2026,Weak,Very Strong,-,-,3,14,2,10,13,11,8,9,3,10,6,3,10,8,5,4,9,6,1,10,13,2,4,7,11,7,10,9,13,1,6,7,13,7,8,2,2,8,8,2000288930,5,189 cm
-,Yth,Mark Hérinirainy,D/WB (L),FRA,16,OL,Unknown,Unknown,€160K - €475K,€300 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2026,Very Strong,Weak,-,-,3,13,2,7,15,8,9,9,2,10,4,11,12,6,8,5,9,6,1,6,6,2,9,3,10,4,15,10,7,3,8,6,15,7,10,2,2,9,9,2000288931,6,177 cm
-,Inj,Henrique,D/WB (L),BRA,29,OL,Unknown,Unknown,€300K - €900K,"€27,000 p/m",-,-,-,Balanced,Media-friendly,Full-back,30/6/2024,Very Strong,Reasonable,-,-,1,12,1,12,13,13,12,15,3,13,11,11,12,12,11,8,11,11,3,9,10,2,10,9,12,11,12,11,13,2,14,11,11,15,12,3,2,11,15,19190116,8,173 cm
-,,Jeffinho,AM (RL),BRA,23,OL,Unknown,Unknown,€3.2M - €9.8M,"€51,000 p/m",-,-,-,Fairly Determined,Media-friendly,Winger,30/6/2027,Weak,Very Strong,-,-,1,14,1,10,15,11,9,9,2,12,11,11,13,16,15,11,14,15,1,9,8,4,9,10,7,13,14,12,7,3,13,10,7,11,15,3,3,13,12,2000118650,11,176 cm
-,Yth,Khalis Merah,"DM, M (C)",FRA,16,OL,Unknown,Unknown,€160K - €475K,€300 p/m,-,-,-,Fairly Determined,Media-friendly,Young midfielder,30/6/2026,Weak,Very Strong,-,-,2,14,1,15,12,10,9,9,3,6,5,7,14,16,7,4,10,5,3,8,3,2,8,10,7,9,12,10,8,1,9,1,13,9,10,1,2,10,14,2000288923,4,163 cm
-,Yth,Daryll Benlahlou,AM (RL),FRA,17,OL,Unknown,Unknown,€140K - €425K,€400 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2025,Weak,Very Strong,-,-,3,14,3,8,14,9,8,4,3,5,5,10,10,8,14,9,12,12,2,7,5,1,10,8,5,9,14,8,6,2,6,2,8,8,13,2,1,9,9,2000185929,7,169 cm
-,Yth,Yvann Konan,GK,SUI,16,OL,Unknown,Unknown,€220K - €650K,€300 p/m,-,-,-,Determined,Media-friendly,Young goalkeeper,30/6/2026,Weak,Very Strong,-,-,11,8,10,6,8,10,7,15,9,12,7,1,13,18,1,3,2,3,11,1,7,9,9,2,1,3,13,12,11,13,2,5,3,7,1,7,7,6,6,2000260077,3,188 cm
-,,Ernest Nuamah,AM (RL),GHA,19,OL,Unknown,Unknown,€11M - €32M,"€35,000 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2026,Very Strong,Weak,-,-,2,17,3,10,16,14,13,10,4,12,12,10,10,5,16,12,15,14,3,9,10,2,5,10,4,14,16,13,5,2,10,12,3,12,16,3,3,11,12,2000156783,10,178 cm
-,Wnt,Sinaly Diomandé,D (C),CIV,22,OL,Unknown,Unknown,€2.5M - €7.4M,"€75,000 p/m",-,-,-,Balanced,Level-headed,Centre-back,30/6/2025,Weak,Very Strong,-,-,2,14,2,12,11,14,14,15,1,9,12,8,11,14,9,7,11,11,1,15,14,3,10,8,13,10,14,13,12,1,13,14,14,14,12,4,3,11,15,49062672,6,184 cm
-,,Haktan Sener,"DM, M (C)",FRA,16,OL,Unknown,Unknown,€450K - €1.4M,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,2,13,4,12,13,10,7,8,1,8,6,6,12,7,3,6,8,5,4,6,8,1,1,5,10,7,13,12,9,1,7,6,13,7,10,1,2,10,12,2000288939,6,178 cm
-,Yth,Emeric Etondé,D (C),FRA,16,OL,Unknown,Unknown,€650K - €2M,€300 p/m,-,-,-,Balanced,Media-friendly,Promising centre-back,30/6/2026,Weak,Very Strong,-,-,3,12,1,13,11,13,8,9,1,5,7,6,14,5,7,1,5,5,1,14,9,2,11,6,14,4,9,8,12,1,5,7,14,7,4,2,3,7,8,2000288936,7,175 cm
-,,Pape Fuhrer,M/AM (C),SUI,17,OL,Unknown,Unknown,€200K - €600K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,3,9,2,7,8,7,10,6,1,10,5,10,13,5,11,12,15,10,3,8,7,1,11,11,9,10,9,10,10,3,8,11,9,10,12,2,3,13,12,2000185930,8,180 cm
-,,Clinton Mata,"D (RC), WB/M (R)",ANG,30,OL,Unknown,Unknown,€4M - €12M,"€173,000 p/m",-,-,-,Fairly Determined,Level-headed,Full-back,30/6/2026,Weak,Very Strong,-,-,1,13,1,14,12,12,13,15,3,15,11,12,12,15,12,8,11,14,1,10,10,3,14,9,15,14,14,13,14,1,14,14,13,14,12,1,2,10,14,18070768,7,180 cm
-,Inj,Maxence Caqueret,"DM, M/AM (C)",FRA,23,OL,Unknown,Unknown,€5M - €15M,"€279,000 p/m",-,-,-,Resolute,Level-headed,Tireless midfielder,30/6/2027,Reasonable,Very Strong,-,-,2,12,1,15,13,14,10,14,1,13,14,8,12,15,12,6,15,13,1,6,7,3,14,8,14,14,12,15,15,2,16,10,13,15,15,1,2,14,16,48044737,11,174 cm
-,,Rayan Cherki,"AM (RLC), ST (C)",FRA,19,OL,Unknown,Unknown,€48M - €144M,"€299,000 p/m",-,-,-,Balanced,Media-friendly,Attacking midfielder,30/6/2025,Very Strong,Very Strong,-,-,3,14,3,6,15,8,11,8,1,7,15,13,9,13,16,12,15,16,1,4,6,2,8,10,3,10,14,12,5,4,8,12,3,8,16,3,2,13,7,49056279,13,177 cm
-,,Eliott Branco,"DM, M (C)",FRA,17,OL,Unknown,Unknown,€50K - €160K,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2024,Weak,Very Strong,-,-,2,13,3,11,7,9,9,6,3,7,7,8,12,11,8,6,13,5,3,8,10,1,8,8,6,8,8,15,9,1,8,6,11,9,9,4,1,14,13,2000288928,7,180 cm
-,,Nicolás Tagliafico,D/WB/M (L),ARG,30,OL,Unknown,Unknown,€5.6M - €16.5M,"€279,000 p/m",-,-,-,Perfectionist,"Outspoken, Evasive",Full-back,30/6/2025,Very Strong,Weak,-,-,2,11,3,19,13,14,14,17,2,13,12,12,12,15,12,7,13,12,1,15,13,1,16,9,15,13,11,13,14,2,16,13,16,15,12,1,1,12,17,14008030,8,172 cm
-,Yth,Lilian Coponat,"D (RC), DM",FRA,17,OL,Unknown,Unknown,€140K - €400K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Weak,Very Strong,-,-,1,9,3,15,9,8,10,10,3,10,6,10,13,8,8,5,12,5,3,10,7,2,5,6,8,8,10,10,13,2,7,6,14,14,8,2,3,10,12,2000126678,8,178 cm
-,Yth,Wassim El Abrougui,D (R),TUN,16,OL,Unknown,Unknown,€275K - €800K,€300 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2026,Weak,Very Strong,-,-,1,14,1,13,14,6,7,8,2,7,5,11,14,14,6,3,7,5,2,5,10,3,4,6,6,3,14,7,5,3,10,6,11,7,7,2,1,7,7,2000288933,7,183 cm
-,,Saël Kumbedi,D/WB (R),FRA,18,OL,Unknown,Unknown,€2.1M - €6.4M,"€34,000 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2027,Weak,Very Strong,-,-,1,15,1,16,14,12,12,13,4,8,11,12,10,13,11,8,12,14,3,7,8,1,11,9,11,14,15,12,10,4,12,8,13,12,12,1,2,11,14,2000104915,8,175 cm
